ano_mes,preço_medio,Produto
2019-05-01,3.79,ABACATE KG
2019-05-01,3.23,ABACAXI UND
2019-05-01,3.09,LARANJA PERA KG
2019-05-01,2.82,LIMAO TAHITI KG
2019-05-01,8.37,TOMATE KG
2019-04-01,3.56,ABACATE KG
2019-04-01,3.51,ABACAXI UND
2019-04-01,3.00,LARANJA PERA KG
2019-04-01,3.48,LIMAO TAHITI KG
2019-04-01,8.80,TOMATE KG
2019-03-01,4.34,ABACATE KG
2019-03-01,3.95,ABACAXI UND
2019-03-01,3.48,LARANJA PERA KG
2019-03-01,3.18,LIMAO TAHITI KG
2019-03-01,7.91,TOMATE KG
2019-02-01,3.92,ABACATE KG
2019-02-01,4.60,ABACAXI UND
2019-02-01,3.07,LARANJA PERA KG
2019-02-01,3.06,LIMAO TAHITI KG
2019-02-01,4.63,TOMATE KG
2019-01-01,5.23,ABACATE KG
2019-01-01,5.04,ABACAXI UND
2019-01-01,2.91,LARANJA PERA KG
2019-01-01,3.24,LIMAO TAHITI KG
2019-01-01,5.52,TOMATE KG
2018-12-01,7.90,ABACATE KG
2018-12-01,4.21,ABACAXI UND
2018-12-01,2.68,LARANJA PERA KG
2018-12-01,2.80,LIMAO TAHITI KG
2018-12-01,6.57,TOMATE KG
2018-11-01,6.59,ABACATE KG
2018-11-01,2.67,ABACAXI UND
2018-11-01,3.03,LARANJA PERA KG
2018-11-01,4.52,LIMAO TAHITI KG
2018-11-01,6.98,TOMATE KG
2018-10-01,4.59,ABACATE KG
2018-10-01,2.29,ABACAXI UND
2018-10-01,2.66,LARANJA PERA KG
2018-10-01,7.06,LIMAO TAHITI KG
2018-10-01,6.19,TOMATE KG
2018-09-01,4.33,ABACATE KG
2018-09-01,2.52,ABACAXI UND
2018-09-01,2.43,LARANJA PERA KG
2018-09-01,7.17,LIMAO TAHITI KG
2018-09-01,3.44,TOMATE KG
2018-08-01,4.25,ABACATE KG
2018-08-01,2.81,ABACAXI UND
2018-08-01,2.42,LARANJA PERA KG
2018-08-01,5.13,LIMAO TAHITI KG
2018-08-01,3.52,TOMATE KG
2018-07-01,3.81,ABACATE KG
2018-07-01,2.89,ABACAXI UND
2018-07-01,2.57,LARANJA PERA KG
2018-07-01,3.52,LIMAO TAHITI KG
2018-07-01,3.04,TOMATE KG
2018-06-01,4.65,ABACATE KG
2018-06-01,3.72,ABACAXI UND
2018-06-01,3.06,LARANJA PERA KG
2018-06-01,4.13,LIMAO TAHITI KG
2018-06-01,5.39,TOMATE KG
2018-05-01,4.19,ABACATE KG
2018-05-01,4.21,ABACAXI UND
2018-05-01,2.90,LARANJA PERA KG
2018-05-01,5.31,LIMAO TAHITI KG
2018-05-01,5.04,TOMATE KG
2018-04-01,3.65,ABACATE KG
2018-04-01,4.82,ABACAXI UND
2018-04-01,3.26,LARANJA PERA KG
2018-04-01,3.72,LIMAO TAHITI KG
2018-04-01,5.03,TOMATE KG
2018-03-01,4.01,ABACATE KG
2018-03-01,3.53,ABACAXI UND
2018-03-01,2.83,LARANJA PERA KG
2018-03-01,4.16,LIMAO TAHITI KG
2018-03-01,5.38,TOMATE KG
2018-02-01,3.33,ABACATE KG
2018-02-01,3.31,ABACAXI UND
2018-02-01,2.46,LARANJA PERA KG
2018-02-01,3.92,LIMAO TAHITI KG
2018-02-01,4.91,TOMATE KG
2018-01-01,4.04,ABACATE KG
2018-01-01,3.25,ABACAXI UND
2018-01-01,2.54,LARANJA PERA KG
2018-01-01,2.85,LIMAO TAHITI KG
2018-01-01,4.52,TOMATE KG
2017-12-01,8.26,ABACATE KG
2017-12-01,3.17,ABACAXI UND
2017-12-01,2.46,LARANJA PERA KG
2017-12-01,3.95,LIMAO TAHITI KG
2017-12-01,3.91,TOMATE KG
2017-11-01,9.76,ABACATE KG
2017-11-01,3.46,ABACAXI UND
2017-11-01,2.76,LARANJA PERA KG
2017-11-01,6.07,LIMAO TAHITI KG
2017-11-01,4.36,TOMATE KG
2017-10-01,7.73,ABACATE KG
2017-10-01,2.98,ABACAXI UND
2017-10-01,2.79,LARANJA PERA KG
2017-10-01,7.00,LIMAO TAHITI KG
2017-10-01,3.52,TOMATE KG
2017-09-01,6.09,ABACATE KG
2017-09-01,3.33,ABACAXI UND
2017-09-01,2.40,LARANJA PERA KG
2017-09-01,5.25,LIMAO TAHITI KG
2017-09-01,3.36,TOMATE KG
2017-08-01,5.62,ABACATE KG
2017-08-01,3.17,ABACAXI UND
2017-08-01,2.38,LARANJA PERA KG
2017-08-01,3.98,LIMAO TAHITI KG
2017-08-01,3.41,TOMATE KG
2017-07-01,5.03,ABACATE KG
2017-07-01,3.17,ABACAXI UND
2017-07-01,2.19,LARANJA PERA KG
2017-07-01,3.49,LIMAO TAHITI KG
2017-07-01,5.50,TOMATE KG
2017-06-01,4.11,ABACATE KG
2017-06-01,3.45,ABACAXI UND
2017-06-01,2.52,LARANJA PERA KG
2017-06-01,2.70,LIMAO TAHITI KG
2017-06-01,4.64,TOMATE KG
